ntd_id,ntd_id_2022,test_ntd_id,name
90003,90003,90003,San Francisco Bay Area Rapid Transit District
90004,90004,90004,Golden Empire Transit District
90006,90006,90006,Santa Cruz Metropolitan Transit District
90008,90008,90008,City of Santa Monica
90009,90009,90009,San Mateo County Transit District
90010,90010,90010,City of Torrance
90012,90012,90012,San Joaquin Regional Transit District
90013,90013,90013,Santa Clara Valley Transportation Authority
90014,90014,90014,Alameda-Contra Costa Transit District
90015,90015,90015,City and County of San Francisco
90016,90016,90016,"Golden Gate Bridge, Highway and Transportation District"
90017,90017,90017,City of Santa Rosa
90019,90019,90019,Sacramento Regional Transit District
90020,90020,90020,Santa Barbara Metropolitan Transit District
90022,90022,90022,City of Norwalk
90023,90023,90023,Long Beach Transit
90024,90024,90024,City of La Mirada
90026,90026,90026,San Diego Metropolitan Transit System
90027,90027,90027,City of Fresno
90029,90029,90029,OmniTrans
90030,90030,90030,North County Transit District
90031,90031,90031,Riverside Transit Agency
90035,90035,90035,Gold Coast Transit
90035,90035,90035,Gold Coast Transit District
90036,90036,90036,Orange County Transportation Authority
90039,90039,90039,City of Culver City
90041,90041,90041,City of Montebello
90042,90042,90042,City of Gardena
90043,90043,90043,City of Commerce
90044,90044,90044,City of Arcadia
90050,90050,90050,City of Simi Valley
90052,90052,90052,City of Corona
90061,90061,90061,Yuba-Sutter Transit Authority
90062,90062,90062,Monterey-Salinas Transit
90078,90078,90078,Central Contra Costa Transit Authority
90078,90078,90078,Contra Costa County Transportation Authority
90079,90079,90079,SunLine Transit Agency
90086,90086,90086,City of Riverside
90087,90087,90087,City of Santa Maria
90088,90088,90088,Napa Valley Transportation Authority
90089,90089,90089,Sonoma County
90090,90090,90090,Yolo County Transportation District
90091,90091,90091,City of Visalia
90092,90092,90092,City of Fairfield
90093,90093,90093,Redding Area Bus Authority
90094,,90094,Metropolitan Transportation Commission
90095,90095,90095,San Diego Association of Governments
90119,90119,90119,City of Laguna Beach
90121,90121,90121,Antelope Valley Transit Authority
90134,90134,90134,Peninsula Corridor Joint Powers Board
90142,90142,90142,"University of California, Davis"
90144,90144,90144,"Livermore / Amador
  Valley Transit Authority"
90144,90144,90144,Livermore / Amador Valley Transit Authority
90144,90144,90144,Livermore-Amador Valley Transit Authority
90146,90146,90146,Foothill Transit
90147,90147,90147,City of Los Angeles
90148,90148,90148,Victor Valley Transit Authority
90149,90149,90149,City of Lompoc
90151,90151,90151,Southern California Regional Rail Authority
90154,90154,90154,Los Angeles County Metropolitan Transportation Authority
90155,90155,90155,City of Vacaville
90156,90156,90156,City of San Luis Obispo
90157,90157,90157,Access Services
90159,90159,90159,Western Contra Costa Transit Authority
90161,90161,90161,City of Union City
90162,90162,90162,Eastern Contra Costa Transit Authority
90163,90163,90163,City of Camarillo
90164,90164,90164,Ventura County Transportation Commission
90165,90165,90165,City of Thousand Oaks
90167,90167,90167,City of Davis
90168,90168,90168,City of Roseville
90171,90171,90171,City of Santa Clarita
90173,90173,90173,Transit Joint Powers Authority for Merced County
90175,90175,90175,City of Lodi
90182,90182,90182,San Joaquin Regional Rail Commission
90194,90194,90194,City of Atascadero
90196,90196,90196,Placer County
90197,90197,90197,City of Tracy
90198,90198,90198,City of Porterville
90199,90199,90199,City of Madera
90200,90200,90200,Kings County Area Public Transit Agency
90201,90201,90201,City of Turlock
90206,90206,90206,San Luis Obispo Regional Transit Authority
90208,90208,90208,Butte County Association of Governments
90211,90211,90211,Anaheim Transportation Network
90213,90213,90213,City of Petaluma
90214,90214,90214,City of Redondo Beach
9R02-90216,90216,90216,Sacramento County
90217,90217,90217,City of Manteca
90218,90218,90218,Riverside County Transportation Commission
90223,90223,90223,Paratransit Inc.
90225,90225,90225,San Francisco Bay Area Water Emergency Transit Authority
90226,90226,90226,Imperial County Transportation Commission
90227,90227,90227,City of Moorpark
90229,90229,90229,El Dorado County Transit Authority
90230,90230,90230,California Vanpool Authority
90232,90232,90232,Solano County Transit
90233,90233,90233,Yuma County Intergovernmental Public Transportation Authority
90234,90234,90234,Marin County Transit District
90238,90238,90238,City of Delano
90243,90243,90243,Easy Lift Transportation
90246,90246,90246,City of Agoura Hills
