ntd_id,legacy_ntd_id,organization_record_id,organization_name
9R02-91116,9R02-055,rec79AM4tMwdokWhE,Alpine County
9R02-91043,9R02-042,recVdB3dpp3VhC1bd,City of Guadalupe
90087,9087,rec9zGMJgNnes75K1,City of Santa Maria
9R02-91059,9R02-037,reczIiFqdL5AXTpm1,Kern County
90148,9148,recJcXMNC5MUm2uDe,Victor Valley Transit Authority
90157,9157,recJtH0Ae8YNo01aj,Access Services
9R02-91007,9R02-025,rec3d3ltF8TijTaTx,Fresno County Rural Transit Agency
90244,9244,rec9BnCwRBY9LWBSX,City of Tulare
90279,,,
90014,9014,recOZgevYf7Jimm9L,Alameda-Contra Costa Transit District
90134,9134,rec2ErIfztLMJ4rgG,Peninsula Corridor Joint Powers Board
90246,,recIwwhIBPHVfBdiV,City of Agoura Hills
9R02-91079,9R02-033,recyB8JVEJdkjSd2p,City of Woodlake
90260,,recwTLLx2Qq4yzwWH,City of Compton
99370,9T22,recYBRDOFAYGCfYmO,Tule River Tribe
90062,9062,receZJ9sEnP9vy3g0,Monterey-Salinas Transit
9R02-91082,9R02-094,recGqTUeT6ZZZZLEh,Mariposa County
90291,,recSOvT9EjtcLUUeE,City of South Gate
9R02-91110,9R02-024,recJgBQp06uDrbSiq,City of McFarland
9R02-99438,,recx4ZG2lvZb7kGAL,Shasta County
90281,,rec0FfOvKIMZu1Qjs,City of Lynwood
90088,9088,rec9RGrya9SjWYp2p,Napa Valley Transportation Authority
90043,9043,recd0hxcumVMausDU,City of Commerce
90236,9236,reccTBKWzb2zlECIi,Historic: Stanislaus Regional Transit
99422,,recCrbMuKb85X5QEY,San Joaquin Council of Governments
90272,,,
9R02-91028,9R02-039,reckp33bhAuZlmO1M,City of Solvang
90251,,rec2mqmTSs2fd2Ogc,City of Baldwin Park
90006,9006,recDFXyxaWQpiY4mw,Santa Cruz Metropolitan Transit District
90223,9223,recAwVdogtIsOLN9Q,Paratransit Inc.
90232,9232,reclLbvvKE1V4zsZg,Solano County Transit
90218,9218,recnzXYBeSO2NIAr6,Riverside County Transportation Commission
90211,9211,recsrIZdx5Wt6n3ol,Anaheim Transportation Network
90258,,recgsY5iTcDhjK0Ju,City of Carson
9R02-91119,9R02-005,recbMtOZTPh8dnUEZ,Plumas County
90259,,recXYM27Lts8XF98x,City of Cerritos
