id,ntd_id,agency_name,facility_id,facility_type,facility_name,geometry,geojson_geometry
0,90016,"Golden Gate Bridge, Highway and Transportation District",7901,Surface Parking Lot,19 Cotati PARK AND RIDE (Caltrans),POINT (-122.7100974 38.33068919999999),"{'type': 'Point', 'coordinates': (-122.7100974, 38.33068919999999)}"
1,90299,Sonoma-Marin Area Rail Transit District,6209,At-Grade Fixed Guideway Station,Cotati Station,POINT (-122.691 38.33097),"{'type': 'Point', 'coordinates': (-122.691, 38.33097)}"
2,90089,County of Sonoma ,8425,Surface Parking Lot,Cotati Depot Park & Ride Lot,POINT (-122.6913149 38.3311885),"{'type': 'Point', 'coordinates': (-122.6913149, 38.3311885)}"
3,90089,County of Sonoma ,8310,Surface Parking Lot,Cotati Park & Ride Lot,POINT (-122.715711 38.3313966),"{'type': 'Point', 'coordinates': (-122.715711, 38.3313966)}"
4,90299,Sonoma-Marin Area Rail Transit District,6216,Surface Parking Lot,Rohnert Park Station Parking,POINT (-122.7007 38.34622),"{'type': 'Point', 'coordinates': (-122.7007, 38.34622)}"
5,90299,Sonoma-Marin Area Rail Transit District,6208,At-Grade Fixed Guideway Station,Rohnert Park Station,POINT (-122.7011 38.34714),"{'type': 'Point', 'coordinates': (-122.7011, 38.34714)}"
6,90016,"Golden Gate Bridge, Highway and Transportation District",7903,Surface Parking Lot,21 North Rohnert Park PARK AND RIDE (Caltrans),POINT (-122.6989292 38.348149),"{'type': 'Point', 'coordinates': (-122.6989292, 38.348149)}"
7,90016,"Golden Gate Bridge, Highway and Transportation District",7902,Surface Parking Lot,20 South Rohnert Park PARK AND RIDE (Caltrans),POINT (-122.6989292 38.348149),"{'type': 'Point', 'coordinates': (-122.6989292, 38.348149)}"
8,90009,San Mateo County Transit District,4396,Administrative Office / Sales Office,Central Building,POINT (-122.2621105 37.506309),"{'type': 'Point', 'coordinates': (-122.2621105, 37.506309)}"
9,90009,San Mateo County Transit District,4397,Parking Structure,Parking garage,POINT (-122.2621105 37.506309),"{'type': 'Point', 'coordinates': (-122.2621105, 37.506309)}"
10,90009,San Mateo County Transit District,20278,Elevated Fixed Guideway Station,San Carlos Station,POINT (-122.2602 37.50801),"{'type': 'Point', 'coordinates': (-122.2602, 37.50801)}"
11,90134,Peninsula Corridor Joint Powers Board,4140,Elevated Fixed Guideway Station,San Carlos Station,POINT (-122.2602 37.50801),"{'type': 'Point', 'coordinates': (-122.2602, 37.50801)}"
12,90134,Peninsula Corridor Joint Powers Board,4208,Surface Parking Lot,SCS Parking Lot,POINT (-122.2602 37.50801),"{'type': 'Point', 'coordinates': (-122.2602, 37.50801)}"
13,90134,Peninsula Corridor Joint Powers Board,4207,Surface Parking Lot,BEL Parking Lot,POINT (-122.2761 37.52115),"{'type': 'Point', 'coordinates': (-122.2761, 37.52115)}"
14,90134,Peninsula Corridor Joint Powers Board,4139,Elevated Fixed Guideway Station,Belmont Station,POINT (-122.2761 37.52115),"{'type': 'Point', 'coordinates': (-122.2761, 37.52115)}"
15,90134,Peninsula Corridor Joint Powers Board,19266,Elevated Fixed Guideway Station,Hillsdale Station,POINT (-122.3011 37.5419),"{'type': 'Point', 'coordinates': (-122.3011, 37.5419)}"
16,90009,San Mateo County Transit District,20277,Elevated Fixed Guideway Station,Hillsdale Station,POINT (-122.3011 37.5419),"{'type': 'Point', 'coordinates': (-122.3011, 37.5419)}"
17,90134,Peninsula Corridor Joint Powers Board,19267,Surface Parking Lot,HIL Parking Lot,POINT (-122.3011 37.5419),"{'type': 'Point', 'coordinates': (-122.3011, 37.5419)}"
18,90134,Peninsula Corridor Joint Powers Board,4205,Surface Parking Lot,HPK Parking Lot,POINT (-122.3095 37.55321),"{'type': 'Point', 'coordinates': (-122.3095, 37.55321)}"
19,90134,Peninsula Corridor Joint Powers Board,4137,At-Grade Fixed Guideway Station,Hayward Park Station,POINT (-122.3095 37.55321),"{'type': 'Point', 'coordinates': (-122.3095, 37.55321)}"
20,90134,Peninsula Corridor Joint Powers Board,4204,Surface Parking Lot,SMT Parking Lot,POINT (-122.3241 37.56842),"{'type': 'Point', 'coordinates': (-122.3241, 37.56842)}"
21,90134,Peninsula Corridor Joint Powers Board,4136,At-Grade Fixed Guideway Station,San Mateo Station,POINT (-122.3241 37.56842),"{'type': 'Point', 'coordinates': (-122.3241, 37.56842)}"
22,90009,San Mateo County Transit District,20276,At-Grade Fixed Guideway Station,San Mateo Station,POINT (-122.3241 37.56842),"{'type': 'Point', 'coordinates': (-122.3241, 37.56842)}"
